probeID, clientIP, clientName, serverIP, serverName, IPvX, Number of Hops, Average, Median, tunnel avg, tunnel med, tunnel hops
16718,89.176.122.247,ip-89-176-122-247.net.upcbroadband.cz,104.244.42.1,,4,9, 138.678,137.128
25355,105.16.160.8,pb-01-jnb.za.seacomnet.com,216.58.211.100,ams15s32-in-f4.1e100.net,4,10, 980.153666667,973.9
25355,2c0f:feb0:b:1::8,pb6-01-jnb.za.seacomnet.com,2a00:1450:400e:808::2004,ams16s31-in-x04.1e100.net,6,10, 981.393,977.805
25355,105.16.160.8,pb-01-jnb.za.seacomnet.com,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,11, 1485.29366667,1481.091
25355,2c0f:feb0:b:1::8,pb6-01-jnb.za.seacomnet.com,2a03:2880:f106:83:face:b00c:0:25de,edge-star-mini6-shv-01-amt2.facebook.com,6,11, 988.208333333,987.57
25355,105.16.160.8,pb-01-jnb.za.seacomnet.com,103.235.46.39,,4,16, 1550.975,1546.468
25355,105.16.160.8,pb-01-jnb.za.seacomnet.com,91.198.174.192,text-lb.esams.wikimedia.org,4,8, 1151.55366667,1151.667
25355,2c0f:feb0:b:1::8,pb6-01-jnb.za.seacomnet.com,2620:0:862:ed1a::1,text-lb.esams.wikimedia.org,6,8, 663.696666667,661.891
25355,105.16.160.8,pb-01-jnb.za.seacomnet.com,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,10, 1466.836,1464.42
25355,2c0f:feb0:b:1::8,pb6-01-jnb.za.seacomnet.com,2a00:1288:110:2::3007,media-router-fp1.prod.media.vip.ir2.yahoo.com,6,10, 1015.04466667,1008.491
25355,105.16.160.8,pb-01-jnb.za.seacomnet.com,151.101.37.140,,4,9, 1154.149,1149.624
25355,105.16.160.8,pb-01-jnb.za.seacomnet.com,54.230.130.232,server-54-230-130-232.ams50.r.cloudfront.net,4,15, 1829.47466667,1819.547
25355,105.16.160.8,pb-01-jnb.za.seacomnet.com,104.244.42.1,,4,7, 942.851666667,942.669
25355,105.16.160.8,pb-01-jnb.za.seacomnet.com,95.213.11.181,srv181-11-213-95.vk.com,4,10, 1524.83366667,1506.097
